年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光市役所第４庁舎,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,熊谷市保健センター,東邦大学,千葉県環境研究センター,印旛健康福祉センター成田支所,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2018,2,9,18,16,8,57,20,12,4,45,0,0,20,20,8,12,16,8,20,8,8,,20
2018,2,9,19,12,16,20,16,24,0,41,16,4,8,20,8,12,12,0,16,0,8,4,12
2018,2,9,20,4,28,16,8,12,4,28,12,8,4,24,4,8,8,0,8,0,0,,8
2018,2,9,21,12,16,12,8,4,8,8,4,0,4,28,4,8,28,0,12,0,0,,20
2018,2,9,22,24,20,12,4,12,8,12,8,8,0,32,4,16,0,0,8,8,8,,0
2018,2,9,23,8,12,4,4,0,0,28,0,0,0,8,8,12,4,0,16,0,8,,8
2018,2,9,24,0,4,8,16,0,8,24,4,0,4,12,8,4,0,0,12,0,16,,16
2018,2,10,1,12,0,0,12,12,0,12,4,20,4,0,4,8,0,0,12,4,4,,0
2018,2,10,2,0,16,4,0,0,0,16,0,16,0,0,12,16,4,0,4,4,0,,4
2018,2,10,3,0,16,8,4,16,4,12,0,0,0,8,8,0,8,4,0,4,8,,8
2018,2,10,4,0,20,8,4,4,0,0,0,4,0,16,20,0,0,0,4,0,4,,0
2018,2,10,5,0,16,8,0,0,8,0,0,4,0,12,8,0,4,0,4,0,8,,4
2018,2,10,6,0,8,12,0,0,4,4,0,8,0,12,0,4,0,0,4,4,4,,0
2018,2,10,7,8,16,4,12,0,0,0,4,8,0,12,4,0,16,0,16,8,0,,0
2018,2,10,8,8,8,12,4,4,0,4,16,4,4,12,0,0,0,0,20,4,0,,28
