年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,旧笠間支所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2016,2,9,6,8,0,0,0,0,0,0,4,8,0,0,4,0,4,0,0,0,4,8,0
2016,2,9,7,12,16,0,12,4,0,4,4,4,0,0,0,12,0,12,0,0,8,4,0
2016,2,9,8,8,12,0,0,20,8,8,0,12,12,0,4,12,8,0,12,0,4,8,0
2016,2,9,9,20,16,8,12,4,0,53,4,16,8,12,20,8,20,4,4,8,4,86,41
2016,2,9,10,8,16,4,8,0,0,41,12,36,4,28,16,12,4,0,8,12,24,180,28
2016,2,9,11,8,8,8,4,4,0,20,0,20,12,8,12,0,16,0,4,12,8,332,61
2016,2,9,12,8,8,12,4,12,0,28,8,12,16,20,8,16,77,4,0,16,8,438,36
2016,2,9,13,8,20,4,12,8,16,12,8,12,4,8,0,16,65,4,4,24,16,422,28
2016,2,9,14,24,16,4,8,20,24,28,0,24,8,16,28,8,65,0,4,12,4,311,36
2016,2,9,15,0,16,0,8,8,36,16,0,16,12,28,24,8,65,0,8,8,4,278,12
2016,2,9,16,4,12,16,16,12,77,20,,20,4,20,16,12,45,0,4,4,8,90,24
2016,2,9,17,16,12,16,16,12,-9998,16,0,20,12,12,12,0,12,4,8,16,24,94,20
2016,2,9,18,20,12,24,16,4,-9998,4,0,4,8,8,12,20,45,0,8,4,4,98,20
2016,2,9,19,12,12,24,4,4,-9998,20,340,4,12,0,4,20,53,20,0,4,8,73,32
2016,2,9,20,0,12,16,8,8,-9998,8,36,0,8,8,0,0,16,0,4,8,4,16,20
2016,2,9,21,0,20,20,8,4,-9998,4,,0,0,0,8,0,12,4,8,16,4,4,8
2016,2,9,22,0,4,4,0,4,-9998,12,,4,4,0,4,8,20,4,0,0,0,4,16
2016,2,9,23,4,4,0,4,0,233,4,20,0,12,0,4,12,12,12,8,12,4,12,4
2016,2,9,24,8,0,0,0,0,110,16,180,0,0,4,0,0,0,4,4,0,4,0,0
2016,2,10,1,0,0,0,0,4,172,0,53,4,0,0,4,0,8,8,8,0,4,0,4
2016,2,10,2,8,0,8,0,0,274,4,262,0,4,0,0,12,4,8,4,4,0,32,16
2016,2,10,3,0,12,0,0,0,122,0,328,4,4,0,0,0,8,0,0,0,0,8,4
2016,2,10,4,4,4,4,4,0,65,12,4,0,0,0,0,4,8,4,0,0,4,8,0
2016,2,10,5,8,12,4,0,12,98,16,4,0,0,16,0,0,20,0,0,0,0,20,4
2016,2,10,6,12,20,8,12,4,180,12,106,8,12,8,0,0,65,0,0,8,4,20,0
2016,2,10,7,0,24,4,20,0,65,4,299,0,8,8,4,4,45,0,4,0,4,8,0
2016,2,10,8,16,12,8,8,8,82,16,221,8,16,0,8,8,49,4,8,0,8,32,12
2016,2,10,9,28,20,8,16,28,49,0,16,4,16,12,8,8,61,0,8,0,0,86,8
2016,2,10,10,12,12,4,4,4,32,16,4,36,16,0,0,0,217,12,0,4,0,90,4
2016,2,10,11,16,8,8,8,4,53,4,0,16,4,0,0,4,188,4,0,0,4,102,8
2016,2,10,12,4,20,53,16,16,4,4,8,16,4,0,4,20,245,0,20,12,0,102,12
2016,2,10,13,20,61,28,24,20,53,36,4,24,16,4,0,8,877,8,4,4,4,118,4
2016,2,10,14,28,57,24,12,8,32,20,8,32,8,0,20,16,2316,0,12,20,16,147,4
2016,2,10,15,20,77,16,8,12,69,16,8,16,4,0,8,28,1639,0,4,4,0,139,16
2016,2,10,16,8,90,32,12,12,16,16,0,4,8,12,12,28,1029,0,16,12,4,155,12
2016,2,10,17,12,65,20,0,12,20,12,12,8,28,4,24,16,602,12,4,12,8,200,16
2016,2,10,18,4,41,16,4,20,28,12,8,12,0,12,12,16,135,20,8,12,20,69,8
2016,2,10,19,20,24,4,0,20,12,4,4,16,12,4,12,24,102,4,0,0,8,57,12
2016,2,10,20,20,28,16,0,8,16,0,8,4,12,0,0,4,8,8,0,0,0,32,4
2016,2,10,21,4,28,4,0,0,0,0,8,8,0,4,0,20,12,20,0,4,0,28,12
2016,2,10,22,12,24,0,16,8,8,0,0,8,12,12,0,12,8,16,0,4,0,57,8
2016,2,10,23,0,12,0,4,4,4,16,12,0,0,0,8,0,24,8,4,4,0,41,4
2016,2,10,24,4,8,0,12,4,4,0,4,4,0,0,0,0,4,4,0,0,0,57,0
2016,2,11,1,4,0,0,8,8,0,4,8,8,0,0,0,16,16,4,0,0,0,16,0
2016,2,11,2,8,8,0,8,0,0,4,16,0,0,0,12,0,8,4,0,4,0,12,0
2016,2,11,3,0,0,4,8,4,4,0,0,4,0,4,0,0,12,0,0,0,0,24,0
2016,2,11,4,4,16,4,4,0,4,0,24,4,0,0,4,0,4,4,0,0,0,0,0
2016,2,11,5,4,36,0,0,0,4,0,4,8,0,0,0,4,0,0,0,0,0,12,4
2016,2,11,6,4,8,0,0,4,0,4,0,4,0,0,0,0,4,0,0,0,0,12,8
2016,2,11,7,0,12,0,12,0,0,12,0,0,0,0,0,0,8,0,12,0,4,4,8
2016,2,11,8,12,4,4,8,8,0,4,0,8,0,0,12,0,20,12,0,4,8,16,4
2016,2,11,9,12,8,8,12,8,0,4,0,4,4,4,12,16,41,0,8,0,0,16,8
2016,2,11,10,4,4,8,8,4,4,12,4,12,12,0,12,24,16,4,4,4,16,32,8
2016,2,11,11,12,4,0,8,0,0,24,0,16,12,0,4,8,24,16,8,24,0,16,0
2016,2,11,12,8,4,12,12,4,0,20,4,4,4,4,20,4,12,12,8,20,8,12,8
2016,2,11,13,8,16,8,8,16,8,8,,0,4,8,4,4,12,0,8,8,12,32,8
2016,2,11,14,4,12,0,8,20,4,8,0,8,8,4,16,8,16,24,8,8,8,36,8
2016,2,11,15,12,12,20,4,16,8,12,0,4,8,0,16,4,28,8,4,20,8,82,8
2016,2,11,16,8,20,8,4,8,4,24,0,32,8,8,32,0,24,12,8,4,12,73,16
2016,2,11,17,4,12,24,16,16,0,49,4,20,8,8,0,8,8,4,8,20,4,77,12
2016,2,11,18,0,4,16,8,16,8,45,12,32,16,69,8,8,4,16,8,4,4,53,4
2016,2,11,19,12,12,16,20,0,28,57,24,53,28,61,4,12,12,8,28,4,8,36,24
2016,2,11,20,16,0,4,4,8,4,49,12,36,8,4,4,20,20,0,82,4,0,16,4
2016,2,11,21,12,4,4,8,4,0,32,36,20,4,0,8,0,8,0,8,8,8,24,4
2016,2,11,22,0,4,8,0,0,4,28,16,12,12,16,4,4,12,0,12,0,12,16,4
2016,2,11,23,16,16,0,12,0,0,16,4,8,4,8,0,0,8,8,4,0,0,20,4
2016,2,11,24,0,4,4,0,8,0,12,8,8,4,4,8,0,0,0,4,8,8,8,8
2016,2,12,1,8,8,8,0,0,0,20,4,20,0,4,0,0,8,0,0,4,0,12,0
2016,2,12,2,4,0,0,8,0,0,8,12,4,4,4,0,0,8,0,16,0,0,0,0
2016,2,12,3,4,8,0,4,0,0,12,4,12,4,0,0,8,4,0,8,0,4,4,0
2016,2,12,4,0,4,0,0,4,0,4,16,4,4,0,0,0,4,0,8,0,0,8,4
2016,2,12,5,4,4,0,4,4,0,4,0,4,4,0,0,8,0,4,4,0,4,4,0
2016,2,12,6,0,4,0,0,4,0,0,0,8,0,4,0,4,0,0,8,0,4,0,4
2016,2,12,7,4,0,0,8,0,0,16,0,16,0,4,4,4,0,0,4,0,8,12,0
