年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,7,8,12,12,8,4,4,20,0,0,20,4,4,0,16,82,0,8,8,16,4,41
2017,2,7,9,12,57,0,45,0,4,8,12,65,36,28,0,4,270,4,53,20,4,4,28
2017,2,7,10,12,270,0,20,4,12,8,24,98,16,12,4,65,947,4,41,8,41,41,8
2017,2,7,11,8,389,8,24,4,28,20,20,82,20,12,16,77,422,8,32,12,36,36,8
2017,2,7,12,0,389,8,16,16,20,16,8,53,65,8,8,98,623,4,82,12,69,41,20
2017,2,7,13,8,569,4,20,16,45,0,8,135,32,16,8,122,836,4,86,0,65,57,4
2017,2,7,14,8,508,16,28,16,53,12,0,77,32,4,4,94,906,4,164,16,41,49,4
2017,2,7,15,28,385,41,20,0,250,8,8,41,4,16,4,94,545,0,86,16,53,20,8
2017,2,7,16,24,217,24,8,4,159,4,0,28,24,4,4,90,762,8,12,20,53,45,16
2017,2,7,17,36,155,32,4,4,90,8,0,8,8,24,0,61,364,16,32,20,45,12,16
2017,2,7,18,20,151,20,0,16,49,4,4,4,16,0,0,69,159,12,32,8,61,16,16
2017,2,7,19,8,32,4,4,0,41,0,4,8,12,4,0,49,180,12,20,8,28,24,24
2017,2,7,20,0,0,12,8,8,20,8,0,8,0,0,0,8,36,16,4,8,16,24,20
2017,2,7,21,16,0,20,0,8,20,0,8,4,0,0,0,0,12,32,4,8,8,4,8
2017,2,7,22,12,0,16,16,4,20,8,0,0,4,4,0,0,41,0,0,4,0,0,8
2017,2,7,23,20,12,0,28,4,20,8,0,16,0,0,0,16,8,4,0,0,12,0,8
2017,2,7,24,4,0,12,0,0,8,0,0,4,4,4,0,8,102,0,12,0,8,4,4
2017,2,8,1,4,0,4,8,0,4,0,0,4,4,4,0,8,49,4,12,8,4,4,4
2017,2,8,2,4,8,0,4,4,24,0,0,0,0,0,0,4,24,8,4,4,8,4,0
2017,2,8,3,0,0,0,0,4,12,8,4,8,8,0,0,0,24,4,4,4,4,4,4
2017,2,8,4,0,8,16,8,16,20,0,4,0,12,0,0,4,12,4,8,0,0,0,4
2017,2,8,5,4,4,4,4,8,24,0,4,0,0,0,0,0,20,0,0,0,4,0,8
2017,2,8,6,0,0,8,0,4,16,4,4,0,0,0,0,4,4,8,0,0,0,0,16
2017,2,8,7,12,12,0,8,4,0,4,8,0,0,0,0,4,4,0,4,4,0,8,16
2017,2,8,8,8,0,16,12,20,0,24,0,12,0,4,0,8,24,0,8,4,8,4,12
2017,2,8,9,12,8,8,16,12,0,20,0,12,8,0,4,16,49,4,4,8,4,12,4
2017,2,8,10,8,12,8,16,0,0,8,4,0,0,4,0,4,28,0,0,16,8,8,8
2017,2,8,11,4,8,0,4,12,0,4,8,8,12,0,8,12,28,0,8,8,8,8,8
2017,2,8,12,0,32,8,8,0,0,4,0,4,12,0,0,4,24,0,8,12,8,4,12
2017,2,8,13,16,4,0,12,0,0,12,0,0,0,12,0,32,32,12,8,12,24,0,4
2017,2,8,14,4,4,0,24,8,0,0,4,4,24,4,0,12,20,4,4,8,4,12,4
2017,2,8,15,0,4,0,12,0,0,4,8,20,16,8,0,32,24,0,0,24,4,0,24
2017,2,8,16,0,12,4,94,8,0,16,0,24,8,0,4,8,45,12,12,16,16,4,8
2017,2,8,17,8,16,4,8,12,0,8,0,12,4,24,0,32,20,28,20,32,36,8,8
2017,2,8,18,12,16,12,16,4,0,8,0,16,8,36,8,28,24,28,16,24,24,4,4
2017,2,8,19,0,24,4,8,4,0,4,4,16,41,16,8,45,4,12,20,41,16,8,4
2017,2,8,20,12,36,12,0,0,0,8,4,20,16,0,8,41,16,8,41,20,24,0,8
2017,2,8,21,0,20,16,4,4,0,0,12,24,0,4,12,41,8,20,8,12,8,8,28
2017,2,8,22,0,12,0,0,0,0,0,0,20,8,0,8,36,12,16,4,4,8,4,8
2017,2,8,23,0,8,16,0,0,0,4,8,8,4,4,16,8,8,4,4,4,8,0,0
2017,2,8,24,8,8,4,0,4,4,0,8,8,4,8,16,8,16,12,4,8,12,4,24
2017,2,9,1,4,12,8,0,0,0,0,12,12,0,0,8,20,0,16,4,8,0,0,12
