年,月,日,時,笠間市役所,宇都宮市中央生涯学習センター,栃木県林業センター,日光特別地域気象観測所,群馬県衛生環境研究所,群馬県林木育種場,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁分庁舎,川崎生命科学・環境研究センター,神奈川県自然環境保全センター
2015,2,9,13,4,4,20,4,20,8,12,8,0,16,12,0,8,8,4,24,16,12
2015,2,9,14,0,4,8,4,12,8,8,4,4,0,8,8,0,4,16,8,24,0
2015,2,9,15,0,4,,0,12,0,4,0,8,8,12,4,12,4,16,36,24,4
2015,2,9,16,0,4,0,4,16,4,16,0,0,0,4,20,12,4,4,41,8,12
2015,2,9,17,8,8,8,0,16,0,4,4,0,16,0,24,8,12,8,36,28,16
2015,2,9,18,8,8,8,0,12,0,12,16,8,0,8,12,4,24,4,20,20,8
2015,2,9,19,4,16,8,8,16,0,8,12,20,16,12,4,4,32,8,24,36,8
2015,2,9,20,20,12,8,143,12,0,24,0,12,4,12,0,8,28,16,69,12,8
2015,2,9,21,32,12,4,98,8,12,16,0,4,0,36,8,0,36,0,36,16,4
2015,2,9,22,28,8,0,159,16,0,12,8,0,20,28,12,12,12,4,12,16,4
2015,2,9,23,45,0,12,36,12,0,0,0,0,8,16,8,4,4,0,53,20,49
2015,2,9,24,12,4,12,12,8,0,4,4,12,0,32,4,4,20,4,24,4,8
2015,2,10,1,4,4,0,73,4,4,0,0,0,16,8,0,0,4,0,12,0,4
2015,2,10,2,8,0,4,262,12,0,12,0,4,4,8,0,0,4,0,32,12,4
2015,2,10,3,0,4,4,373,20,0,4,4,0,16,0,8,4,4,0,12,8,12
2015,2,10,4,4,0,4,204,0,0,8,0,0,4,0,4,0,12,0,12,8,0
2015,2,10,5,4,0,0,53,0,0,0,0,0,0,8,0,4,4,0,4,8,0
2015,2,10,6,0,0,0,41,0,0,4,0,4,4,0,4,4,4,0,20,8,0
2015,2,10,7,8,4,4,45,0,0,8,4,4,8,4,0,4,4,0,16,20,0
2015,2,10,8,20,8,0,24,12,8,12,4,0,4,28,8,0,4,8,16,12,28
2015,2,10,9,0,20,8,4,12,8,12,4,4,12,16,0,8,8,20,8,20,8
2015,2,10,10,0,12,0,12,16,8,12,0,12,20,0,8,4,8,0,45,12,12
2015,2,10,11,4,0,4,24,8,4,12,0,4,8,8,8,0,0,8,65,16,4
2015,2,10,12,0,20,8,45,20,0,12,4,0,4,0,8,0,0,0,24,24,16
2015,2,10,13,0,12,4,16,32,0,12,4,4,4,0,4,0,12,8,24,8,8
2015,2,10,14,4,8,16,102,36,4,4,0,0,0,0,8,0,12,4,24,0,16
2015,2,10,15,4,12,4,8,24,0,12,16,4,0,16,12,4,0,8,36,28,4
2015,2,10,16,8,24,0,8,45,12,16,12,12,0,0,16,4,4,0,16,16,0
2015,2,10,17,0,16,16,12,12,0,12,4,4,0,12,53,4,0,4,41,24,0
2015,2,10,18,4,4,16,0,16,4,16,4,24,4,12,0,12,20,4,20,20,8
2015,2,10,19,12,8,4,0,16,0,24,8,8,8,20,0,0,8,0,20,24,12
2015,2,10,20,8,12,4,0,16,0,36,4,0,16,16,0,4,32,8,20,12,0
2015,2,10,21,8,8,4,0,8,0,12,0,8,16,4,8,4,12,8,8,4,4
2015,2,10,22,16,0,12,4,4,0,16,0,4,4,4,4,0,8,4,53,4,12
2015,2,10,23,4,8,8,0,8,0,12,12,0,4,12,4,0,8,0,20,20,0
2015,2,10,24,8,12,12,4,0,0,4,0,0,20,0,4,4,8,4,32,20,4
2015,2,11,1,4,16,12,4,0,0,4,4,4,4,4,0,0,16,0,4,4,0
2015,2,11,2,12,0,0,0,0,0,4,0,0,4,8,4,0,16,0,12,4,0
2015,2,11,3,16,8,0,0,0,0,0,0,4,0,4,4,4,4,0,16,4,0
2015,2,11,4,8,0,0,0,0,0,0,0,4,4,16,0,0,12,4,16,12,0
2015,2,11,5,4,0,0,0,0,0,0,4,4,0,4,12,0,8,4,16,4,0
2015,2,11,6,0,4,8,0,4,0,4,0,0,0,8,4,0,16,0,8,8,0
2015,2,11,7,0,0,28,0,0,0,0,0,4,0,12,0,0,8,4,12,4,0
2015,2,11,8,0,8,8,0,36,4,8,0,4,4,4,4,0,16,0,4,12,4
2015,2,11,9,20,4,8,0,49,4,24,16,4,8,4,16,4,0,16,20,28,4
2015,2,11,10,16,16,4,0,53,4,0,4,0,0,4,12,12,8,20,36,20,4
2015,2,11,11,16,0,8,4,45,4,8,4,20,4,4,16,8,16,4,32,12,24
2015,2,11,12,16,12,4,4,45,4,16,8,20,12,8,0,4,4,8,41,41,12
2015,2,11,13,8,12,0,0,16,0,12,8,12,4,4,8,0,0,0,12,8,0
2015,2,11,14,0,8,8,0,20,8,4,4,4,4,4,4,4,4,4,36,12,8
